[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=3, close=-0.03, date=2005-06-17, high=0.07, low=-0.04, open=-0.02, volumn=542947]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=4, close=0.16, date=2005-06-20, high=0.18, low=-0.06, open=0.01, volumn=2514025]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=5, close=0.13, date=2005-06-21, high=0.15, low=0.07, open=0.15, volumn=896091]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=6, close=0.17, date=2005-06-22, high=0.24, low=0.11, open=0.11, volumn=1212839]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=7, close=0.1, date=2005-06-23, high=0.18, low=0.08, open=0.17, volumn=1142324]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=8, close=0.15, date=2005-06-24, high=0.16, low=0.06, open=0.06, volumn=470597]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=10, close=0.13, date=2005-06-28, high=0.16, low=0.06, open=0.16, volumn=461893]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=11, close=0.14, date=2005-06-29, high=0.17, low=0.11, open=0.13, volumn=608743]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=12, close=0.1, date=2005-06-30, high=0.16, low=0.06, open=0.16, volumn=940310]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=13, close=0.03, date=2005-07-01, high=0.08, low=0.02, open=0.08, volumn=579360]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=14, close=-0.05, date=2005-07-04, high=0.03, low=-0.18, open=0.03, volumn=1310529]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=15, close=-0.02, date=2005-07-05, high=0.0, low=-0.07, open=-0.03, volumn=974220]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=16, close=-0.08, date=2005-07-06, high=0.08, low=-0.11, open=0.07, volumn=787006]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=17, close=-0.1, date=2005-07-07, high=-0.07, low=-0.14, open=-0.14, volumn=376491]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=18, close=-0.09, date=2005-07-08, high=-0.09, low=-0.18, open=-0.1, volumn=886099]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=19, close=-0.1, date=2005-07-11, high=0.0, low=-0.14, open=-0.07, volumn=423534]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=20, close=-0.02, date=2005-07-12, high=0.01, low=-0.1, open=-0.07, volumn=1095659]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=21, close=-0.04, date=2005-07-13, high=-0.02, low=-0.07, open=-0.04, volumn=1167645]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=22, close=-0.01, date=2005-07-14, high=0.01, low=-0.04, open=-0.04, volumn=947065]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=23, close=-0.01, date=2005-07-15, high=0.01, low=-0.03, open=0.0, volumn=836900]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=24, close=-0.05, date=2005-07-18, high=0.0, low=-0.13, open=-0.13, volumn=130790]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=25, close=-0.03, date=2005-07-19, high=-0.02, low=-0.08, open=-0.02, volumn=383378]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=26, close=-0.02, date=2005-07-20, high=0.01, low=-0.05, open=-0.05, volumn=507540]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=27, close=0.0, date=2005-07-21, high=0.01, low=-0.06, open=0.0, volumn=165700]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=28, close=0.02, date=2005-07-22, high=0.08, low=-0.06, open=0.0, volumn=408907]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=29, close=0.01, date=2005-07-25, high=0.01, low=-0.03, open=0.0, volumn=520115]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=30, close=0.07, date=2005-07-26, high=0.08, low=0.0, open=0.0, volumn=543796]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=31, close=0.17, date=2005-07-27, high=0.18, low=0.07, open=0.07, volumn=1026724]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=32, close=0.24, date=2005-07-28, high=0.24, low=0.13, open=0.18, volumn=2069106]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=34, close=0.23, date=2005-08-01, high=0.27, low=0.16, open=0.16, volumn=420000]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=37, close=0.17, date=2005-08-04, high=0.21, low=0.16, open=0.21, volumn=599639]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=38, close=0.17, date=2005-08-05, high=0.23, low=0.16, open=0.17, volumn=2180500]
